Tweet,Message/tweets,happy_words,sad_words,polarity
201, SwannyQLD Canada has announced  a 75 wage subsidy demonstrating yet again the Governments crashing failure in face of crisis,,"crashing, crisis, failure",negative
202,No Canadian Twitter mocks Trumps plan to move troops to U.S.Canada border  National   ,,mocks,negative
203,GoodGuyLoki Bro whats wrong,,wrong,negative
204, picardonhealth A glimmer of hope  PhysicalDistancing has halved spread of COVID19 in B.C. modelling suggests by rhiannaschmunk,glimmer,,positive
205," raehanbobby When the US has a cold Canada sneezes. 

cdnpoli covid19 healthcare",,cold,negative
206, tim4hire This is highly inappropriate conduct for any minister at any time. It is egregiously so for the Minister of Health to do this,,"egregiously, inappropriate",negative
207,"The Canadian govt is providing support to those financially impacted by COVID19 by A1time GST credit Child Benefit topup 6 month interestfree moratorium on student loans. For seniors minimum withdrawals from RRIFs reduced by 25
For more info  ","benefit, support",,positive
208, mgurarie Canada Should Nationalize Oil Companies Not Bail Them Out  via readpassage,,,neutral
209,nsouthern95 For sure. Canada needs a leader like him.,like,,positive
210, latimes Meghan Markle and Prince Harry have moved to L.A. according to reports ,,,neutral
211,"In corners of the U.S. Canada Russia and China OilPrices at the wellhead are collapsing under the weight of an unprecedented glut.

Story Creds Rigzone",,,neutral
212, TheTorontoSun CRAIG Canada cant afford social distancing apathy  ,afford,apathy,neutral
213, EXrayFuSion No mask no service In Vancouver anticoronavirus face coverings go mainstream as fears grow over shortages for healt,,fears,negative
214, evgeniagallery 201029  EvgeniaMedvedeva free skate to Extremely Loud and Incredibly Close at Skate Canada International 2016 ,"free, incredibly",,positive
215, drhonow Together we can make a difference by providing resources to those who need it most. 100 of the proceeds donated  will go tow,,,neutral
216, JustinTrudeau We are implementing the Quarantine Act to keep all Canadians safe. So let me be clear If you do not go home and stay ho,clear,,positive
217,.AgentsofSHIELD does anyone there know why you are available on  netflix but not NetflixCA or disneyplus  I know Canada is considered the red headed step child but we like it just as much as anyone else and there is No way to binge it except to spend  and buy it.,"available, like",,positive
218," susanpdoherty truly amazing what independent bookstores in Canada are doing to get books to readers.

",amazing,,positive
219,inatimeofdeceit jmurray1990 CBCNews The government stated they would lend up to 5000 for Canadians to get back to Canada. On March 7th there was plenty of media of this and people still chose to gamble. When we travel we have to be prepped to live with the consequences,,,neutral
220, Learning2GetBy Border towns in Canada petrified by possibility of U.S. easing coronavirus measures  National  ,easing,petrified,neutral
221," YukonStrong There ya have it Vancouver you are officially on your own to protect yourself against theft.

And criminals know that.",protect,,positive
222," geonewsenglish SouthKorea boy band BTS postpones US Canada tour over coronavirus

GeoNews",,,neutral
223,ABC7Chicago Move to Canada ,,,neutral
224,Forgotten Trail follows two teenagers who apply their knowledge of fractions decimals measurement and statistics to retrace the Ojibwe migration through the U.S. and Canada. ,,,neutral
225,"Meal Exchange has joined over 170 of Canadas leading charities to call on the Federal Government for emergency support to face the COVID19 crisis. Here is our letter to CanadianPM JustinTrudeau cc cafreeland BillMorneau

 ","leading, support",,positive
226, evgeniagallery 201029  EvgeniaMedvedeva free skate to Extremely Loud and Incredibly Close at Skate Canada International 2016 ,"free, incredibly",,positive
227,danwootton Fled Canada to escape coronavirus They moved to the country with the highest number of cases in the world some escape plan ,,,neutral
228,Canada attacks damaging Trump plan to deploy troops at border  Via Reuters ,,"attacks, damaging",negative
229, kieranleavitt Full story. Still no word from the minister or his ministry or the premier. Nor have many government staffers been out d,,,neutral
230,"No mask no service In Vancouver anticoronavirus face coverings go mainstream as fears grow over shortages for health workers 
Mar 27 2020 1400",,"fears, mar",negative
231, CBCAlerts More CBCNews Montreal declares state of emergency in effort to contain spread of coronavirus among people living on the st,,emergency,negative
