Positive and negative words,Polarity
refresh,positive
clear,positive
great,positive
adversity,negative
darkness,negative
beautifully,positive
good,positive
lighter,positive
seamless,positive
tough,positive
tougher,positive
optimistic,positive
intimidating,negative
avalanche,negative
backward,negative
infected,negative
killed,negative
fraud,negative
good,positive
like,positive
trump,positive
stupid,negative
significant,positive
breaking,negative
oasis,positive
unsure,negative
encourage,positive
concern,negative
symptoms,negative
protective,positive
sucks,negative
virus,negative
disappointed,negative
protective,positive
glad,positive
well,positive
bless,positive
critical,negative
shortage,negative
emergency,negative
loved,positive
hate,negative
weird,negative
wonders,positive
crooks,negative
celebration,positive
top,positive
qualified,positive
love,positive
fucking,negative
protection,positive
excuse,negative
horrified,negative
killing,negative
neglect,negative
risk,negative
strong,positive
isolation,negative
crashing,negative
crisis,negative
failure,negative
mocks,negative
wrong,negative
glimmer,positive
cold,negative
egregiously,negative
inappropriate,negative
benefit,positive
support,positive
like,positive
afford,positive
apathy,negative
fears,negative
free,positive
incredibly,positive
loud,negative
clear,positive
available,positive
like,positive
amazing,positive
easing,positive
petrified,negative
protect,positive
leading,positive
support,positive
emergency,negative
free,positive
incredibly,positive
loud,negative
trump,positive
attacks,negative
damaging,negative
fears,negative
mar,negative
emergency,negative
praising,positive
hard,negative
enough,positive
marvel,positive
charming,positive
colorful,positive
easy,positive
perfect,positive
facilitate,positive
work,positive
emergency,negative
facilitate,positive
work,positive
emergency,negative
love,positive
dead,negative
fake,negative
virus,negative
fake,negative
ready,positive
slowed,negative
awesome,positive
emergency,negative
crowded,negative
horrible,negative
important,positive
top,positive
trusted,positive
damn,negative
expensive,negative
enough,positive
reassurance,positive
death,negative
delay,negative
failing,negative
grateful,positive
top,positive
emergency,negative
intimidating,negative
good,positive
allergic,negative
warning,negative
symptoms,negative
right,positive
excellent,positive
restricted,negative
ready,positive
support,positive
willing,positive
afford,positive
apathy,negative
right,positive
encourage,positive
concern,negative
symptoms,negative
glowing,positive
modern,positive
outbreak,negative
emergency,negative
missed,negative
breaking,negative
proud,positive
wow,positive
fool,negative
beware,negative
emergency,negative
avalanche,negative
emergency,negative
limit,negative
safe,positive
strong,positive
sorry,negative
virus,negative
breaking,negative
resignation,negative
love,positive
fair,positive
messed,negative
best,positive
great,positive
inspiring,positive
adversity,negative
darkness,negative
endanger,negative
ridiculous,negative
shame,negative
interesting,positive
welcome,positive
fears,negative
virus,negative
slower,negative
lone,negative
good,positive
harangue,negative
threatening,negative
nice,positive
super,positive
scams,negative
declines,negative
protective,positive
important,positive
ready,positive
stable,positive
best,positive
great,positive
thank,positive
harangue,negative
threatening,negative
clear,positive
limited,negative
critical,negative
shortage,negative
welcome,positive
proud,positive
breaking,negative
resignation,negative
fair,positive
work,positive
contribution,positive
happy,positive
spectacular,positive
enjoy,positive
free,positive
thank,positive
available,positive
benefits,positive
emergency,negative
lousy,negative
unfit,negative
fortunate,positive
timely,positive
troubling,negative
hostile,negative
good,positive
sane,positive
emergency,negative
missed,negative
urgent,negative
good,positive
luck,positive
responsibly,positive
love,positive
fucking,negative
enjoy,positive
love,positive
positive,positive
smile,positive
worked,positive
hostile,negative
trump,positive
blame,negative
protective,positive
love,positive
fucking,negative
rough,negative
missed,negative
kill,negative
trump,positive
best,positive
gorgeous,positive
happy,positive
safe,positive
crashing,negative
crisis,negative
failure,negative
supporting,positive
breaking,negative
thank,positive
anxiety,negative
positive,positive
emergency,negative
missed,negative
cold,negative
disappointed,negative
positive,positive
dark,negative
incredibly,positive
cruel,negative
fall,negative
hang,negative
free,positive
incredibly,positive
loud,negative
like,positive
likes,positive
smells,negative
easing,positive
petrified,negative
like,positive
benefit,positive
infected,negative
support,positive
respect,positive
picket,negative
strike,negative
breaking,negative
helped,positive
best,positive
thank,positive
breaking,negative
fears,negative
strike,negative
clear,positive
grateful,positive
thank,positive
uncertain,negative
work,positive
glimmer,positive
emergency,negative
missed,negative
well,positive
disappointed,negative
applaud,positive
supporting,positive
best,positive
available,positive
insecurity,negative
miss,negative
cute,positive
idol,positive
supportive,positive
sweet,positive
wonder,positive
adaptable,positive
great,positive
good,positive
good,positive
sane,positive
neglected,negative
fun,positive
good,positive
sane,positive
protest,negative
refuse,negative
hostile,negative
emergency,negative
protective,positive
unbelievable,negative
opposition,negative
responsibly,positive
deny,negative
pain,negative
sorry,negative
emergency,negative
struggling,negative
work,positive
thank,positive
opposition,negative
crisis,negative
problem,negative
hot,positive
breaking,negative
error,negative
well,positive
grim,negative
best,positive
master,positive
virus,negative
right,positive
doubt,negative
hard,negative
issue,negative
risk,negative
cure,positive
virus,negative
important,positive
work,positive
good,positive
sane,positive
welcome,positive
fears,negative
virus,negative
thank,positive
love,positive
poor,negative
cool,positive
well,positive
vulnerable,negative
crashing,negative
crisis,negative
failure,negative
died,negative
dying,negative
flee,negative
hostile,negative
outstanding,positive
proud,positive
difficult,negative
like,positive
sincerely,positive
thank,positive
protective,positive
protest,negative
refuse,negative
falls,negative
outbreak,negative
protective,positive
trump,positive
work,positive
correct,positive
fair,positive
like,positive
trump,positive
hate,negative
fear,negative
bad,negative
bitch,negative
dumb,negative
tired,negative
celebrate,positive
fabulous,positive
like,positive
thank,positive
support,positive
beg,negative
shock,negative
love,positive
fucking,negative
like,positive
gold,positive
trouble,negative
safe,positive
support,positive
crisis,negative
critical,negative
insecurity,negative
worsen,negative
clear,positive
fresher,positive
smells,negative
crash,negative
heartwarming,positive
enough,positive
unbelievable,negative
isolate,negative
like,positive
pure,positive
intimidating,negative
thank,positive
error,negative
harassed,negative
disappointed,negative
glimmer,positive
enough,positive
beauty,positive
precisely,positive
advantage,positive
right,positive
top,positive
blow,negative
blunt,negative
fuck,negative
smoke,negative
blame,negative
deny,negative
ignore,negative
trump,positive
breaking,negative
joy,positive
crisis,negative
problem,negative
emergency,negative
great,positive
commitment,positive
loved,positive
thank,positive
enough,positive
crash,negative
encouraging,positive
interesting,positive
immaterial,negative
great,positive
like,positive
mock,negative
enough,positive
love,positive
ghetto,negative
limited,negative
clear,positive
patient,positive
great,positive
clear,positive
trump,positive
crisis,negative
sneak,negative
love,positive
fucking,negative
better,positive
safe,positive
crisis,negative
promising,positive
slower,negative
misunderstandings,negative
protective,positive
clear,positive
celebration,positive
excellent,positive
concerned,negative
well,positive
crisis,negative
like,positive
wonder,positive
virus,negative
glimmer,positive
like,positive
right,positive
inappropriate,negative
celebration,positive
protective,positive
quiet,positive
safe,positive
love,positive
fucking,negative
best,positive
super,positive
lead,positive
significant,positive
concession,negative
conflicts,negative
debt,negative
like,positive
fall,negative
like,positive
good,positive
sane,positive
infected,negative
fragmented,negative
frustrated,negative
patient,positive
boost,positive
support,positive
trump,positive
concerned,negative
corrupt,negative
imbecile,negative
incompetent,negative
clear,positive
available,positive
rumors,negative
welcome,positive
fears,negative
virus,negative
crisis,negative
clear,positive
breathtaking,positive
qualify,positive
harassed,negative
loses,negative
important,positive
outbreak,negative
crashing,negative
crisis,negative
failure,negative
goodness,positive
thank,positive
failed,negative
imperfect,negative
emergency,negative
stereotypical,negative
well,positive
like,positive
weird,negative
best,positive
safe,positive
well,positive
grim,negative
rejoice,positive
fall,negative
sick,negative
trust,positive
afraid,negative
conflicting,negative
erode,negative
fun,positive
intimidating,negative
refusing,negative
threatening,negative
supporting,positive
like,positive
right,positive
inappropriate,negative
lucky,positive
love,positive
protective,positive
killed,negative
magical,positive
quiet,positive
right,positive
trump,positive
isolation,negative
lame,negative
sorry,negative
expensive,negative
criminal,negative
fascist,negative
shunned,negative
love,positive
fucking,negative
intimidating,negative
celebrate,positive
fabulous,positive
trump,positive
good,positive
work,positive
falls,negative
outbreak,negative
fear,negative
hung,negative
emergency,negative
missed,negative
responsibly,positive
helping,positive
disabled,negative
unemployed,negative
thank,positive
dangerous,negative
responsibly,positive
crashing,negative
crisis,negative
failure,negative
breaking,negative
glimmer,positive
limited,negative
welcome,positive
fears,negative
virus,negative
gain,positive
thank,positive
dumb,negative
loss,negative
breaking,negative
resignation,negative
harassed,negative
trusted,positive
clear,positive
easier,positive
clear,positive
hangs,negative
support,positive
better,positive
thank,positive
critic,negative
love,positive
fucking,negative
emergency,negative
fucking,negative
thank,positive
stuck,negative
pleasure,positive
hard,negative
weird,negative
rejoice,positive
fall,negative
clear,positive
glimmer,positive
losing,negative
interests,positive
conflict,negative
threat,negative
courage,positive
better,positive
enough,positive
dangerous,negative
issue,negative
problem,negative
egregiously,negative
inappropriate,negative
great,positive
right,positive
protesting,negative
smear,negative
positively,positive
infested,negative
clear,positive
well,positive
grim,negative
jeopardy,negative
good,positive
anarchy,negative
accuse,negative
disgusting,negative
opposition,negative
disappointed,negative
emergency,negative
glad,positive
fuck,negative
trump,positive
damaged,negative
celebration,positive
trump,positive
rejoice,positive
fall,negative
cursed,negative
break,negative
dictator,negative
like,positive
thank,positive
die,negative
egregiously,negative
inappropriate,negative
pleasure,positive
hard,negative
weird,negative
emergency,negative
love,positive
fucking,negative
good,positive
like,positive
scary,negative
like,positive
protective,positive
clear,positive
patient,positive
available,positive
shit,negative
important,positive
crashing,negative
crisis,negative
failure,negative
fair,positive
killer,negative
abuse,negative
disturbing,negative
threat,negative
fake,negative
clear,positive
improvements,positive
won,positive
support,positive
advocates,positive
devastated,negative
worry,negative
worked,positive
enjoying,positive
clear,positive
issue,negative
lone,negative
lying,negative
clear,positive
loud,negative
depression,negative
well,positive
confrontation,negative
protective,positive
dumb,negative
hates,negative
sucks,negative
supporting,positive
thank,positive
love,positive
fucking,negative
hostile,negative
thank,positive
critic,negative
wild,negative
clear,positive
improvements,positive
won,positive
easy,positive
cheap,negative
success,positive
available,positive
rumors,negative
lost,negative
virus,negative
good,positive
quiet,positive
safe,positive
good,positive
sane,positive
protective,positive
positive,positive
wise,positive
negative,negative
clear,positive
mocks,negative
available,positive
emergency,negative
killed,negative
outbreak,negative
complaining,negative
haters,negative
outbreak,negative
responsibly,positive
delay,negative
inconvenience,negative
support,positive
beauty,positive
winners,positive
emergency,negative
missed,negative
worth,positive
appreciate,positive
better,positive
premier,positive
protect,positive
ready,positive
support,positive
willing,positive
harassed,negative
protect,positive
well,positive
grim,negative
patient,positive
prompt,positive
weird,negative
right,positive
fuck,negative
top,positive
crashing,negative
crisis,negative
failure,negative
emergency,negative
sincerely,positive
worried,negative
better,positive
truthfully,positive
screwed,negative
crashing,negative
crisis,negative
failure,negative
awesome,positive
thank,positive
expensive,negative
superior,positive
thank,positive
anxiety,negative
relief,positive
clear,positive
free,positive
fun,positive
easy,positive
cheap,negative
top,positive
killed,negative
trump,positive
danger,negative
fallout,negative
fuck,negative
miss,negative
love,positive
fucking,negative
losing,negative
mistake,negative
enough,positive
prison,negative
protect,positive
like,positive
oppose,negative
protective,positive
good,positive
sane,positive
crashing,negative
crisis,negative
failure,negative
elite,positive
stupidity,negative
love,positive
fucking,negative
crashing,negative
crisis,negative
failure,negative
concerns,negative
empathy,positive
love,positive
fucking,negative
best,positive
harangue,negative
threatening,negative
love,positive
fucking,negative
crashing,negative
crisis,negative
failure,negative
easy,positive
risks,negative
proud,positive
enough,positive
benefit,positive
crime,negative
emergency,negative
scam,negative
worth,positive
crisis,negative
stereotypical,negative
fans,positive
illegal,negative
ineffective,negative
safe,positive
enough,positive
itch,negative
trump,positive
welcome,positive
fears,negative
virus,negative
fraud,negative
clear,positive
like,positive
like,positive
excited,positive
quiet,positive
breaking,negative
resignation,negative
breaking,negative
celebration,positive
free,positive
master,positive
shame,negative
redemption,positive
freezing,negative
enough,positive
negligence,negative
swamped,negative
messing,negative
dashing,positive
fans,positive
fucking,negative
love,positive
fucking,negative
glimmer,positive
breaking,negative
resignation,negative
healthy,positive
protect,positive
trump,positive
well,positive
grim,negative
leads,positive
complaints,negative
problems,negative
dusty,negative
available,positive
positive,positive
hard,negative
critical,negative
shortage,negative
good,positive
clearly,positive
like,positive
lost,negative
virus,negative
reassurance,positive
death,negative
glimmer,positive
